# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  4.71249E-05    -2.50     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.061
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000005E-001         3.5668990854249492E+000         5.3820357877951697E+000        -2.7216510713293065E+000            0.000045           15.388139           14.018961           12.520943           11.625084           10.854387            9.831613            9.161989            8.954087           11.847140           13.224165           12.595180           14.455133           12.702574           11.895163            0.000000
  245         9.9000000000000004E+000         1.0481204502877592E-001         3.5702877766467549E+000         5.3656563297000783E+000        -2.6747698579943746E+000            0.000045           15.176020           13.864455           12.388430           11.505335           10.744140            9.730897            9.067632            8.861124           11.728373           13.070301           12.465637           14.286725           12.568063           11.777208            0.000000
  246         9.9000000000000004E+000         1.0488908263935308E-001         3.5703420265607306E+000         5.3653939829110877E+000        -2.6740192017236755E+000            0.000045           15.172631           13.862000           12.386327           11.503427           10.742379            9.729284            9.066121            8.859634           11.726479           13.067890           12.463581           14.284059           12.565932           11.775328            0.000000
  247         9.9000000000000004E+000         1.0640302374423274E-001         3.5714035559739146E+000         5.3602375793845285E+000        -2.6592849073185083E+000            0.000045           15.106088           13.813536           12.344810           11.465868           10.707632            9.697618            9.036447            8.830389           11.689101           13.019458           12.423027           14.231573           12.523792           11.738186            0.000000
  248         9.9000000000000004E+000         1.0650217035965320E-001         3.5714733109617387E+000         5.3598997351540190E+000        -2.6583188702592055E+000            0.000045           15.101727           13.810375           12.342107           11.463414           10.705362            9.695543            9.034503            8.828473           11.686660           13.016336           12.420384           14.228140           12.521052           11.735760            0.000000
  249         9.9000000000000004E+000         1.1635831238864862E-001         3.5784187315509808E+000         5.3262775403103211E+000        -2.5622038296898029E+000            0.000045           14.666325           13.495491           12.073539           11.219779           10.478043            9.488489            8.841335            8.637969           11.442866           12.699341           12.158257           13.884773           12.248541           11.493147            0.000000
  250         9.9000000000000004E+000         1.2121757913309923E-001         3.5818294351699160E+000         5.3096176975774627E+000        -2.5147879270965947E+000            0.000045           14.450858           13.338852           11.940380           11.099222           10.365025            9.385688            8.745501            8.543595           11.321772           12.540898           12.028204           13.714241           12.113218           11.372437            0.000000
  251         9.9000000000000004E+000         1.2131697104477929E-001         3.5818994093806129E+000         5.3092768413864393E+000        -2.5138171382844070E+000            0.000045           14.446448           13.335634           11.937645           11.096748           10.362703            9.383576            8.743533            8.541659           11.319283           12.537642           12.025532           13.710752           12.110437           11.369957            0.000000
  252         9.9000000000000004E+000         1.2786839854885371E-001         3.5865244205776481E+000         5.2868281426928263E+000        -2.4497957701134156E+000            0.000045           14.157038           13.122568           11.756507           10.933043           10.209037            9.243986            8.613541            8.413812           11.154554           12.322060           11.848493           13.480316           11.926160           11.205635            0.000000
  253         9.9000000000000004E+000         1.2794532637222403E-001         3.5865785995968453E+000         5.2865634350377162E+000        -2.4490434244257879E+000            0.000045           14.153698           13.120094           11.754400           10.931135           10.207251            9.242348            8.612000            8.412300           11.152635           12.319585           11.846432           13.477642           11.924020           11.203719            0.000000
