# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  8.37910E-05    -2.25     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  244         9.9000000000000004E+000         1.0000000000000014E-001         3.5544278825464146E+000         5.3657087779759030E+000        -2.7552087201437954E+000            0.000094           14.333776           13.670810           13.615256           12.501040           12.827682           12.247087           11.900289           11.486074           11.565101           11.067754           10.939789           10.630856           10.664597            0.000000
  245         9.9000000000000004E+000         1.0772934211384919E-001         3.5610722355749580E+000         5.3417640262433528E+000        -2.6774654649497442E+000            0.000094           14.059779           13.415634           13.343214           12.277744           12.592495           12.026147           11.683348           11.285945           11.366517           10.878881           10.754507           10.451329           10.484988            0.000000
  246         9.9000000000000004E+000         1.0780653418529053E-001         3.5611353307165468E+000         5.3415182440121214E+000        -2.6766954483676804E+000            0.000094           14.057074           13.413115           13.340547           12.275518           12.590159           12.023947           11.681192           11.283945           11.364535           10.876997           10.752656           10.449536           10.483195            0.000000
  247         9.9000000000000004E+000         1.0860213054008745E-001         3.5617020215417314E+000         5.3388255716763764E+000        -2.6689340944057167E+000            0.000094           14.030630           13.388363           13.314209           12.253573           12.567149           12.002180           11.659837           11.264039           11.344794           10.858103           10.734039           10.431434           10.465097            0.000000
  248         9.9000000000000004E+000         1.1027087624881274E-001         3.5632406255958453E+000         5.3338471130394103E+000        -2.6519242616934693E+000            0.000094           13.968525           13.330784           13.253529           12.202997           12.514251           11.952546           11.611396           11.219006           11.300179           10.816089           10.692819           10.391740           10.425374            0.000000
  249         9.9000000000000004E+000         1.1929674652242887E-001         3.5705279595580137E+000         5.3048681833719771E+000        -2.5620088710404589E+000            0.000094           13.648256           13.032174           12.936861           11.941705           12.240711           11.695706           11.360613           10.982660           11.065581           10.593293           10.473321           10.179873           10.213516            0.000000
  250         9.9000000000000004E+000         1.2176498697668532E-001         3.5722692344416864E+000         5.2964232916914193E+000        -2.5379062916494406E+000            0.000094           13.564869           12.954036           12.853014           11.873364           12.168943           11.628284           11.294789           10.920123           11.003358           10.533518           10.414182           10.122608           10.156302            0.000000
  251         9.9000000000000004E+000         1.2185324274944360E-001         3.5723401007422537E+000         5.2961380300233003E+000        -2.5370267478656605E+000            0.000094           13.561655           12.951039           12.849757           11.870790           12.166218           11.625747           11.292319           10.917790           11.001037           10.531299           10.411988           10.120495           10.154191            0.000000
  252         9.9000000000000004E+000         1.3082449606434221E-001         3.5799536598524919E+000         5.2678907351471960E+000        -2.4467305169497480E+000            0.000094           13.230879           12.643329           12.516061           11.607140           11.886909           11.366222           11.040047           10.677991           10.762114           10.302999           10.186493            9.903170            9.937037            0.000000
  253         9.9000000000000004E+000         1.3090153237968363E-001         3.5800166632739678E+000         5.2676425336108954E+000        -2.4459589977525766E+000            0.000094           13.228091           12.640732           12.513272           11.604914           11.884547           11.364019           11.037905           10.675934           10.760062           10.301040           10.184558            9.901300            9.935168            0.000000
  254         9.9000000000000004E+000         1.3507446286400179E-001         3.5829593821286392E+000         5.2532170298467014E+000        -2.4050665388184056E+000            0.000094           13.083481           12.505692           12.367092           11.488260           11.761414           11.248478           10.925273           10.567920           10.652392           10.197289           10.082337            9.801752            9.835735            0.000000
  255         9.9000000000000004E+000         1.3516264383621754E-001         3.5830302381843864E+000         5.2529291479427727E+000        -2.4041846801809648E+000            0.000094           13.080267           12.502689           12.363845           11.485683           11.758691           11.245944           10.922813           10.565554           10.650031           10.195036           10.080118            9.799602            9.833587            0.000000
  256         9.9000000000000004E+000         1.4246144835298824E-001         3.5894731538807965E+000         5.2301936591194735E+000        -2.3299728863807410E+000            0.000094           12.802230           12.243445           12.084155           11.266024           11.524545           11.028917           10.714499           10.364269           10.449245           10.004272            9.892255            9.618441            9.652238            0.000000
  257         9.9000000000000004E+000         1.4253830900415473E-001         3.5895360521872219E+000         5.2299428841303515E+000        -2.3291998336589730E+000            0.000094           12.799377           12.240769           12.081250           11.263819           11.522123           11.026672           10.712407           10.362163           10.447142           10.002272            9.890286            9.616532            9.650331            0.000000
  258         9.9000000000000004E+000         1.4876409432523005E-001         3.5935468761522427E+000         5.2098937598065254E+000        -2.2721748945739266E+000            0.000094           12.599559           12.052228           11.880276           11.099569           11.349737           10.867423           10.554330           10.208521           10.293701            9.855306            9.745317            9.475568            9.509435            0.000000
  259         9.9000000000000004E+000         1.5871204446735590E-001         3.5976291305442833E+000         5.1900239688785268E+000        -2.2088611658881265E+000            0.000094           12.388330           11.848605           11.664888           10.917265           11.164433           10.688331           10.379882           10.038582           10.123812            9.692382            9.584560            9.318700            9.352727            0.000000
  260         9.9000000000000004E+000         1.5886759982533982E-001         3.5976731850728481E+000         5.1897565942198192E+000        -2.2080288797452789E+000            0.000094           12.385691           11.846073           11.662199           10.914929           11.162059           10.686030           10.377632           10.036385           10.121611            9.690258            9.582459            9.316639            9.350669            0.000000
  261         9.9000000000000004E+000         1.7505149360514730E-001         3.6023314650337896E+000         5.1611612249306829E+000        -2.1203609774189167E+000            0.000094           12.105995           11.578860           11.381092           10.668977           10.908053           10.443978           10.140999            9.805019            9.890241            9.466907            9.361664            9.100067            9.134219            0.000000
  262         9.9000000000000004E+000         1.7524458806347962E-001         3.6023840588473024E+000         5.1608183414637567E+000        -2.1193252250085948E+000            0.000094           12.102704           11.575727           11.377859           10.666069           10.905066           10.441121           10.138201            9.802273            9.887495            9.464258            9.359046            9.097497            9.131649            0.000000
  263         9.9000000000000004E+000         1.8594990757245614E-001         3.6053655801283928E+000         5.1415678798971820E+000        -2.0613988354119761E+000            0.000094           11.918921           11.399858           11.195406           10.504466           10.738223           10.282141            9.982863            9.649764            9.734880            9.316999            9.213423            8.954536            8.988695            0.000000
  264         9.9000000000000004E+000         1.9573990645240702E-001         3.6072865325985961E+000         5.1256211673787346E+000        -2.0153947145159448E+000            0.000094           11.779305           11.264762           11.056367           10.378975           10.609274           10.158326            9.861450            9.530013            9.615006            9.200575            9.097961            8.840841            8.874984            0.000000
  265         9.9000000000000004E+000         2.0117326650271300E-001         3.6084633146205078E+000         5.1170579205648208E+000        -1.9898777329425119E+000            0.000094           11.700709           11.188673           10.978238           10.308736           10.537000           10.089134            9.793682            9.463201            9.548103            9.135793            9.033738            8.777756            8.811869            0.000000
  266         9.9000000000000004E+000         2.0880188333105035E-001         3.6101865279198115E+000         5.1042857034099152E+000        -1.9526657145144073E+000            0.000094           11.586291           11.077673           10.864512           10.206345           10.431660            9.988278            9.694895            9.365756            9.450509            9.041284            8.940003            8.685742            8.719797            0.000000
  267         9.9000000000000004E+000         2.1769698846614335E-001         3.6111056520225033E+000         5.0928422243490816E+000        -1.9203054339680992E+000            0.000094           11.493964           10.987173           10.772270           10.120691           10.344275            9.903406            9.611216            9.282791            9.367446            8.959844            8.858953            8.605585            8.639622            0.000000
  268         9.9000000000000004E+000         2.2598417134145840E-001         3.6119579574531180E+000         5.0823045566321889E+000        -1.8902964771847606E+000            0.000094           11.408430           10.903271           10.686883           10.041243           10.263257            9.824689            9.533587            9.205811            9.290371            8.884272            8.783732            8.531216            8.565228            0.000000
  269         9.9000000000000004E+000         2.3344917407147955E-001         3.6127401896140814E+000         5.0727005655579918E+000        -1.8630950781086821E+000            0.000094           11.330861           10.827134           10.609389            9.969224           10.189782            9.753333            9.463231            9.136048            9.220516            8.815776            8.715544            8.463825            8.497813            0.000000
  270         9.9000000000000004E+000         2.4143717500639755E-001         3.6135727748915265E+000         5.0626388040273467E+000        -1.8342207976305123E+000            0.000094           11.248561           10.746331           10.527336            9.892698           10.111778            9.677531            9.388459            9.061894            9.146264            8.742980            8.643075            8.392224            8.426179            0.000000
