# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.03079E-04    -2.16     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   453   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  255         1.0130000000000001E+001         1.0130381685755421E-001         3.5515428417865031E+000         5.3536895959193274E+000        -2.7501397272115193E+000            0.000112           14.381023           13.708960           13.669490           12.522171           12.854772           12.264101           11.915028           11.497103           11.575771           11.071405           10.940585           10.626714           10.660559            0.000000
  256         1.0130000000000001E+001         1.0997450202265938E-001         3.5592068883642423E+000         5.3267737634143639E+000        -2.6620316599310847E+000            0.000112           14.073565           13.423548           13.363733           12.270947           12.590349           12.015908           11.670736           11.271534           11.351609           10.857382           10.731216           10.423800           10.457504            0.000000
  257         1.0130000000000001E+001         1.1005149492068957E-001         3.5592732736507235E+000         5.3265303690591637E+000        -2.6612515745255827E+000            0.000112           14.070812           13.420954           13.360964           12.268673           12.587964           12.013669           11.668540           11.269486           11.349579           10.855456           10.729331           10.421979           10.455683            0.000000
  258         1.0130000000000001E+001         1.1070530708120215E-001         3.5597461492837663E+000         5.3242649308872281E+000        -2.6547920695512492E+000            0.000112           14.049211           13.400507           13.339205           12.250539           12.569004           11.995726           11.650893           11.252965           11.333188           10.839745           10.713891           10.406966           10.440669            0.000000
  259         1.0130000000000001E+001         1.1320810261513477E-001         3.5620740434095000E+000         5.3165748172225680E+000        -2.6289761638573284E+000            0.000112           13.956930           13.314236           13.249093           12.174378           12.489474           11.921109           11.577771           11.184641           11.265463           10.775910           10.651444           10.346869           10.380501            0.000000
  260         1.0130000000000001E+001         1.2165723397297874E-001         3.5692862423159468E+000         5.2895882944909012E+000        -2.5433851660055260E+000            0.000112           13.650300           13.029334           12.948575           11.923360           12.228056           11.676024           11.338322           10.956244           11.038789           10.561826           10.440976           10.144507           10.178037            0.000000
  261         1.0130000000000001E+001         1.2340417252135545E-001         3.5705332021856142E+000         5.2833921147149381E+000        -2.5260488896206503E+000            0.000112           13.590033           12.972948           12.888391           11.873757           12.176233           11.627278           11.290667           10.910599           10.993399           10.518456           10.398060           10.103051           10.136580            0.000000
  262         1.0130000000000001E+001         1.2348809232614376E-001         3.5706045491040346E+000         5.2831195136489075E+000        -2.5251953575003054E+000            0.000112           13.586884           12.970018           12.885246           11.871218           12.173568           11.624793           11.288245           10.908291           10.991105           10.516285           10.395915           10.100993           10.134515            0.000000
  263         1.0130000000000001E+001         1.2834603064490172E-001         3.5751398186870604E+000         5.2679261734199185E+000        -2.4747525840676277E+000            0.000112           13.397161           12.794219           12.696330           11.719866           12.014050           11.476665           11.144133           10.771479           10.854950           10.387475           10.268358            9.979027           10.012455            0.000000
  264         1.0130000000000001E+001         1.3336040119117989E-001         3.5793977084799637E+000         5.2516458016734164E+000        -2.4237814090243801E+000            0.000112           13.204870           12.615549           12.502550           11.566910           11.852211           11.326215           10.997854           10.632311           10.716304           10.255298           10.137531            9.853307            9.886954            0.000000
  265         1.0130000000000001E+001         1.3621536970823306E-001         3.5814352918659154E+000         5.2413045842127080E+000        -2.3952354667223013E+000            0.000112           13.100937           12.519207           12.398794           11.483692           11.764347           11.243299           10.917034           10.555077           10.639433           10.181101           10.064353            9.782269            9.815975            0.000000
