# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  5.28740E-05    -2.45     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000006E-001         3.5644048448492422E+000         5.3787703858313165E+000        -2.7283626010922042E+000            0.000055           15.381753           14.009149           12.508385           11.610155           10.840493            9.825759            9.155941            8.949563           11.833063           13.231749           12.583272           14.446940           12.691240           11.881595            0.000000
  245         9.9000000000000004E+000         1.0539550444579056E-001         3.5684446684323960E+000         5.3608778690087338E+000        -2.6753089793854485E+000            0.000055           15.132796           13.825780           12.352597           11.470173           10.714520            9.711238            9.049227            8.844982           11.694822           13.049549           12.430448           14.246636           12.532771           11.744433            0.000000
  246         9.9000000000000004E+000         1.0547257294854058E-001         3.5685006873918943E+000         5.3606188351312944E+000        -2.6745544510524764E+000            0.000055           15.129321           13.823201           12.350401           11.468196           10.712729            9.709605            9.047705            8.843485           11.692864           13.046982           12.428294           14.243828           12.530538           11.742489            0.000000
  247         9.9000000000000004E+000         1.0684284510340368E-001         3.5694632490874780E+000         5.3559551778428984E+000        -2.6612147447359500E+000            0.000055           15.068581           13.778095           12.311872           11.433442           10.681063            9.680662            9.020657            8.816861           11.658389           13.001961           12.390516           14.194725           12.491372           11.708242            0.000000
  248         9.9000000000000004E+000         1.0725591153748511E-001         3.5698267738885598E+000         5.3546892107310979E+000        -2.6570399485460583E+000            0.000055           15.048157           13.763124           12.299327           11.422301           10.671088            9.671770            9.012493            8.808882           11.647347           12.987186           12.378247           14.178350           12.478582           11.697289            0.000000
  249         9.9000000000000004E+000         1.1694599921540468E-001         3.5768405771523875E+000         5.3219956689226526E+000        -2.5621648379599344E+000            0.000055           14.614548           13.446337           12.029902           11.179042           10.446157            9.467239            8.821423            8.620749           11.404196           12.668926           12.115021           13.834435           12.204857           11.455317            0.000000
  250         9.9000000000000004E+000         1.2132706070181645E-001         3.5799173950242702E+000         5.3069788164002540E+000        -2.5194116000071634E+000            0.000055           14.421199           13.305786           11.910371           11.070842           10.344970            9.374913            8.734489            8.535362           11.295490           12.526714           11.998247           13.680439           12.083364           11.346950            0.000000
  251         9.9000000000000004E+000         1.2142422538571214E-001         3.5799875476529412E+000         5.3066490791138117E+000        -2.5184590602006574E+000            0.000055           14.416830           13.302599           11.907673           11.068413           10.342699            9.372854            8.732561            8.533470           11.293046           12.523461           11.995613           13.676987           12.080616           11.344512            0.000000
  252         9.9000000000000004E+000         1.2845961805195144E-001         3.5852102684326166E+000         5.2830406611837004E+000        -2.4491827194806821E+000            0.000055           14.099670           13.071343           11.711965           10.892090           10.177965            9.223415            8.592415            8.396182           11.115541           12.289578           11.804358           13.426739           11.881310           11.167486            0.000000
  253         9.9000000000000004E+000         1.2853656757371595E-001         3.5852662123322694E+000         5.2827792547523513E+000        -2.4484265390911455E+000            0.000055           14.096286           13.068793           11.709803           10.890147           10.176144            9.221767            8.590876            8.394673           11.113582           12.286967           11.802246           13.423993           11.879104           11.165531            0.000000
  254         9.9000000000000004E+000         1.3598620203938347E-001         3.5905057140438315E+000         5.2569984882248759E+000        -2.3754519052752636E+000            0.000055           13.778077           12.827255           11.503678           10.704752           10.001631            9.062664            8.440758            8.247622           10.926019           12.042181           11.600454           13.164670           11.669138           10.978325            0.000000
  255         9.9000000000000004E+000         1.3608336263850943E-001         3.5905759325785871E+000         5.2566652254906989E+000        -2.3744955919578654E+000            0.000055           13.773895           12.824061           11.500953           10.702329            9.999311            9.060587            8.438791            8.245700           10.923572           12.038951           11.597786           13.161250           11.666360           10.975882            0.000000
  256         9.9000000000000004E+000         1.4008442031452298E-001         3.5936626148441935E+000         5.2433542761592333E+000        -2.3347471500193899E+000            0.000055           13.597170           12.689013           11.386143           10.598774            9.902296            8.973593            8.357677            8.166549           10.820064           11.902843           11.485742           13.016705           11.549225           10.872652            0.000000
  257         9.9000000000000004E+000         1.4016120658647829E-001         3.5937184578425891E+000         5.2430904302338961E+000        -2.3339895094585956E+000            0.000055           13.593873           12.686470           11.383965           10.596801            9.900441            8.971919            8.356112            8.165020           10.818072           11.900278           11.483634           13.013992           11.547005           10.870666            0.000000
  258         9.9000000000000004E+000         1.5130613228983433E-001         3.6008806366738519E+000         5.2071893436978227E+000        -2.2319777188195915E+000            0.000055           13.162520           12.347357           11.091625           10.328815            9.647458            8.743296            8.142239            7.955756           10.548133           11.559611           11.195671           12.654413           11.248983           10.601315            0.000000
  259         9.9000000000000004E+000         1.5341565503795337E-001         3.6017340688727297E+000         5.2030100654327880E+000        -2.2186620464924056E+000            0.000055           13.108816           12.303997           11.053186           10.293483            9.613952            8.712854            8.113705            7.927802           10.512613           11.516202           11.157835           12.608657           11.210132           10.565874            0.000000
  260         9.9000000000000004E+000         1.5356644306453121E-001         3.6017797786273942E+000         5.2027516413017310E+000        -2.2178440025338833E+000            0.000055           13.105671           12.301414           11.050869           10.291332            9.611898            8.710963            8.111914            7.926041           10.510452           11.513613           11.155551           12.605947           11.207792           10.563717            0.000000
  261         9.9000000000000004E+000         1.7331952058908695E-001         3.6077648272247265E+000         5.1680526422392958E+000        -2.1098469496651795E+000            0.000055           12.697191           11.959299           10.743195           10.005266            9.338873            8.459874            7.875444            7.693526           10.222538           11.173539           10.851829           12.249282           10.896029           10.276426            0.000000
  262         9.9000000000000004E+000         1.7345847917875268E-001         3.6078057736829416E+000         5.1678037643226640E+000        -2.1090870643362138E+000            0.000055           12.694430           11.956926           10.741050           10.003255            9.336951            8.458101            7.873767            7.691879           10.220516           11.171220           10.849704           12.246821           10.893856           10.274408            0.000000
  263         9.9000000000000004E+000         1.8427729402447540E-001         3.6109798238550939E+000         5.1479139598861217E+000        -2.0494676334810116E+000            0.000055           12.476110           11.768875           10.570841            9.844187            9.184999            8.318216            7.742667            7.562765           10.060471           10.986231           10.681310           12.052485           10.721261           10.114680            0.000000
  264         9.9000000000000004E+000         1.8636898054355569E-001         3.6114040940330074E+000         5.1444802647518264E+000        -2.0395280897366344E+000            0.000055           12.441858           11.738773           10.543137            9.817999            9.159760            8.294591            7.720213            7.540585           10.034141           10.956479           10.653852           12.021553           10.693197           10.088390            0.000000
  265         9.9000000000000004E+000         1.9235299926236238E-001         3.6131319762096612E+000         5.1339314120571835E+000        -2.0073812208338806E+000            0.000055           12.325319           11.637150           10.450989            9.731730            9.077417            8.218957            7.649433            7.470976            9.947369           10.857285           10.562573           11.916887           10.599548           10.001796            0.000000
  266         9.9000000000000004E+000         2.0591341462718060E-001         3.6162161364413414E+000         5.1111613584242761E+000        -1.9410216326577767E+000            0.000055           12.094852           11.433641           10.263716            9.555129            8.907841            8.061398            7.500715            7.324336            9.769833           10.657871           10.376981           11.707731           10.409730            9.824510            0.000000
  267         9.9000000000000004E+000         2.1013020504824170E-001         3.6166545549800673E+000         5.1057717962290008E+000        -1.9257054925903494E+000            0.000055           12.046768           11.390003           10.222375            9.515434            8.869110            8.024353            7.464917            7.288821            9.729958           10.614551           10.335959           11.663197           10.368091            9.784670            0.000000
  268         9.9000000000000004E+000         2.1193420174646424E-001         3.6168403613891740E+000         5.1034762462938685E+000        -1.9191702439551397E+000            0.000055           12.026312           11.371408           10.204749            9.498500            8.852579            8.008541            7.449630            7.273655            9.712948           10.596108           10.318466           11.644225           10.350339            9.767675            0.000000
  269         9.9000000000000004E+000         2.2521110334853070E-001         3.6182319027027332E+000         5.0863925078173127E+000        -1.8707873863009401E+000            0.000055           11.874834           11.233570           10.074087            9.372972            8.730086            7.891471            7.336519            7.161464            9.586855           10.459602           10.188778           11.503625           10.218745            9.641695            0.000000
  270         9.9000000000000004E+000         2.3762168864832481E-001         3.6195276707254660E+000         5.0708067926800409E+000        -1.8259646506759228E+000            0.000055           11.734819           11.105831            9.952909            9.256506            8.616471            7.782947            7.231729            7.057546            9.469862           10.333377           10.068473           11.373398           10.096887            9.524808            0.000000
  271         9.9000000000000004E+000         2.4365118620456561E-001         3.6201440830134652E+000         5.0635823306664927E+000        -1.8050529067173884E+000            0.000055           11.669432           11.046120            9.896282            9.202086            8.563422            7.732324            7.182883            7.009124            9.415195           10.274495           10.012243           11.312531           10.039952            9.470192            0.000000
  272         9.9000000000000004E+000         2.5968518816876612E-001         3.6216871818581331E+000         5.0464830889065864E+000        -1.7536740926284460E+000            0.000055           11.508710           10.899154            9.757107            9.068151            8.432991            7.607952            7.062962            6.890285            9.280668           10.129889            9.873530           11.162749            9.899839            9.335793            0.000000
  273         9.9000000000000004E+000         2.6053220369368962E-001         3.6217661281182210E+000         5.0457219082243112E+000        -1.7512557826383481E+000            0.000055           11.501103           10.892181            9.750526            9.061816            8.426847            7.602112            7.057336            6.884721            9.274314           10.123079            9.866961           11.155643            9.893209            9.329446            0.000000
  274         9.9000000000000004E+000         2.6650096325806732E-001         3.6223019712337350E+000         5.0404532197506917E+000        -1.7343915259066880E+000            0.000055           11.447927           10.843608            9.704647            9.017653            8.383971            7.561338            7.018115            6.845882            9.229994           10.075420            9.821167           11.106122            9.846980            9.285172            0.000000
  275         9.9000000000000004E+000         2.7765315014677860E-001         3.6232947569273506E+000         5.0305178546867042E+000        -1.7028244342550831E+000            0.000055           11.348745           10.752894            9.618900            8.935056            8.303720            7.484993            6.944586            6.773081            9.147115            9.986487            9.735579           11.013664            9.760594            9.202352            0.000000
  276         9.9000000000000004E+000         2.7965860607356569E-001         3.6234829122579395E+000         5.0287595378534045E+000        -1.6971376330668506E+000            0.000055           11.330660           10.736429            9.603375            8.920131            8.289207            7.471258            6.931396            6.760026            9.132133            9.970348            9.720086           10.996868            9.744947            9.187329            0.000000
  277         9.9000000000000004E+000         2.9500377187085419E-001         3.6248525848348829E+000         5.0156712941451760E+000        -1.6542699838132051E+000            0.000055           11.195641           10.613077            9.486836            8.807905            8.180074            7.367628            6.831589            6.661244            9.019122            9.849528            9.604004           10.871121            9.627534            9.074432            0.000000
  278         9.9000000000000004E+000         2.9697371013348195E-001         3.6250286845652417E+000         5.0139656911661854E+000        -1.6487414506302280E+000            0.000055           11.178343           10.597219            9.471844            8.793453            8.166031            7.354266            6.818685            6.648481            9.004575            9.834040            9.589066           10.854961            9.612432            9.059900            0.000000
